"","collection_id","sample_id","old_sample_id","photo_id_no","skeletal_sample","pub_author","pub_year","collection_period_from","collection_period_to","collection_date","extract_date","extract_method","collected_by","host_group","host_order","host_family","host_genus","host_species","host_id_date","host_id_by","host_id_method","host_id_changed_from_publication","host_id_changed_from","host_morphotype","corallite_size_mm","colony_sex","ocean","country","region","subregion","area","location","site","shelf_position","latitude","longitude","reef_type","avg_depth","depth_min","depth_max","sym_genus_1","sym_genus_2","sym_genus_3","sym_type_1","sym_type_2","sym_type_3","sym_type_id_year","sym_type_author","sym_type_changed_from","comment_field_coral_id","comment_symbiont_profile","comment_sample_processing"
"3181","LZin08","LZin08_087",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Pocilloporidae","Pocillopora","Pocillopora_damicornis",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C1c-42a",NA,NA,NA,NA,NA,NA,NA,NA
"3182","LZin08","LZin08_088",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Acroporidae","Acropora","Acropora_sarmentosa",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C3",NA,NA,NA,NA,NA,NA,NA,NA
"3183","LZin08","LZin08_089",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3184","LZin08","LZin08_091",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Acroporidae","Montipora","Montipora_meandrina",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C26b",NA,NA,NA,NA,NA,NA,NA,NA
"3185","LZin08","LZin08_092",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Merulinidae","Goniastrea","Goniastrea_pectinata",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C21",NA,NA,NA,NA,NA,NA,NA,NA
"3186","LZin08","LZin08_093",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","soft_coral","Malcalcyonacea","Sarcophytidae","Sarcophyton","Sarcophyton_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C1r",NA,NA,NA,NA,NA,NA,NA,NA
"3187","LZin08","LZin08_094",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Acroporidae","Acropora","Acropora_muricata",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C3",NA,NA,NA,NA,NA,NA,NA,NA
"3188","LZin08","LZin08_097",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","soft_coral","Malcalcyonacea","Sarcophytidae","Lobophytum","Lobophytum_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C1r",NA,NA,NA,NA,NA,NA,NA,NA
"3189","LZin08","LZin08_098",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Acroporidae","Montipora","Montipora_corbettensis",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C26b",NA,NA,NA,NA,NA,NA,NA,NA
"3190","LZin08","LZin08_099",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Acroporidae","Montipora","Montipora_foliosa",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C26b",NA,NA,NA,NA,NA,NA,NA,NA
"3191","LZin08","LZin08_100",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","soft_coral","Malcalcyonacea","Sarcophytidae","Sarcophyton","Sarcophyton_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C1r",NA,NA,NA,NA,NA,NA,NA,NA
"3192","LZin08","LZin08_101",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","soft_coral","Malcalcyonacea","Sarcophytidae","Sarcophyton","Sarcophyton_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C1r",NA,NA,NA,NA,NA,NA,NA,NA
"3193","LZin08","LZin08_102",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","soft_coral","Malcalcyonacea","Sarcophytidae","Lobophytum","Lobophytum_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C1r",NA,NA,NA,NA,NA,NA,NA,NA
"3194","LZin08","LZin08_107",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","soft_coral","Malcalcyonacea","Nephtheidae","Stereonephthya","Stereonephthya_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium","Gerakladium",NA,"C1-Symbiodinium_sp_StereoSH1",NA,NA,NA,NA,NA,NA,NA,NA
"3195","LZin08","LZin08_108",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","soft_coral","Malcalcyonacea","Nephtheidae","Stereonephthya","Stereonephthya_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium","Gerakladium",NA,"C1-Symbiodinium_sp_StereoSH1",NA,NA,NA,NA,NA,NA,NA,NA
"3196","LZin08","LZin08_109",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Acroporidae","Acropora","Acropora_millepora",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C3",NA,NA,NA,NA,NA,NA,NA,NA
"3197","LZin08","LZin08_110",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Merulinidae","Favites","Favites_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C21",NA,NA,NA,NA,NA,NA,NA,NA
"3198","LZin08","LZin08_111",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Merulinidae","Platygyra","Platygyra_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C21",NA,NA,NA,NA,NA,NA,NA,NA
"3199","LZin08","LZin08_112",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Fungiidae","Fungia","Fungia_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C3h",NA,NA,NA,NA,NA,NA,NA,NA
"3200","LZin08","LZin08_114",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","soft_coral","Malcalcyonacea","Sinulariidae","Sinularia","Sinularia_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C1r",NA,NA,NA,NA,NA,NA,NA,NA
"3201","LZin08","LZin08_120",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Poritidae","Porites","Porites_lobata/lutea",2024,"Sampayo","photo","yes","Porites_sp",NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3202","LZin08","LZin08_121",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","soft_coral","Alcyonacea","Nephtheidae","Capnella","Capnella_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C1",NA,NA,NA,NA,NA,NA,NA,NA
"3203","LZin08","LZin08_122",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","soft_coral","Alcyonacea","Alcyoniidae","Cladiella","Cladiella_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Durusdinium",NA,NA,"D4-5-9",NA,NA,NA,NA,NA,NA,NA,NA
"3204","LZin08","LZin08_123",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","soft_coral","Alcyonacea","Alcyoniidae","Cladiella","Cladiella_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Durusdinium",NA,NA,"D4-5-9",NA,NA,NA,NA,NA,NA,NA,NA
"3205","LZin08","LZin08_124",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","soft_coral","Malcalcyonacea","Sarcophytidae","Lobophytum","Lobophytum_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C1r",NA,NA,NA,NA,NA,NA,NA,NA
"3206","LZin08","LZin08_125",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","soft_coral","Malcalcyonacea","Sarcophytidae","Sarcophyton","Sarcophyton_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C1r",NA,NA,NA,NA,NA,NA,NA,NA
"3207","LZin08","LZin08_126",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Acroporidae","Acropora","Acropora_millepora",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C3",NA,NA,NA,NA,NA,NA,NA,NA
"3208","LZin08","LZin08_127",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Acroporidae","Acropora","Acropora_muricata",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C21",NA,NA,NA,NA,NA,NA,NA,NA
"3209","LZin08","LZin08_128",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Acroporidae","Acropora","Acropora_elseyi",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C3h",NA,NA,NA,NA,NA,NA,NA,NA
